0_Information;Cycle/chain mdoe;Degree type;Execution date;File;Folder;Input path;Max chain length;Max cycle length;Output path;Path;Time limit
   12;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         1.1456;         0.3594;         2.8290;         0.0000;     ;
   13;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.9249;         0.3594;         2.8290;         0.0000;     ;
   14;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.4710;         0.3594;         2.8290;         0.0000;     ;
   15;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.7332;         0.3594;         2.8290;         0.0000;     ;
   16;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.5121;         0.3594;         2.8290;         0.0000;     ;
   17;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.5566;         0.3750;         2.9520;         0.0000;     ;
   18;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.4984;         0.3750;         2.9520;         0.0000;     ;
   19;                    Build Cycle MDD;               AugmentedNetwork.cpp;       271;            BuildCycleMDD;         0.0001;         0.5009;         0.3750;         2.9520;         0.0000;     ;
   20;              --->>--- MDD ---<<---;               AugmentedNetwork.cpp;       424;                BuildMDDs;         0.0001;         0.5056;         0.3750;         2.9520;         0.0000;     ;
   21;          --->>--- BBTree ---<<--- ;                         BBTree.cpp;       188;                   BBTree;         0.0000;         0.0267;         0.3750;         2.9520;         0.0000;     ;
   22;                ->>- Lagrange -<<- ;           LagrangianRelaxation.cpp;        14;                 Lagrange;         0.0000;         0.1065;         0.3750;         2.9520;         0.0000;     ;
   23;                       Preparations;           LagrangianRelaxation.cpp;        69;                 Lagrange;         0.0019;        16.8111;         3.7031;        29.1513;         0.0000;     ;
   24;                    New Cycle added;           LagrangianRelaxation.cpp;        73;                 Lagrange;         0.0000;         0.0054;         3.7031;        29.1513;         0.0000;     ;
   25;                Get cycle variables;           LagrangianRelaxation.cpp;       113;                 Lagrange;         0.0006;         4.8284;         4.5625;        35.9164;         0.0000;     ;
   26;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.0098;         4.5625;        35.9164;         0.0000;     ;
   27;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.4681;         4.6250;        36.4084;         0.0000;     ;
   28;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.5475;         4.6250;        36.4084;         0.0000;     ;
   29;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.5118;         4.6250;        36.4084;         0.0000;     ;
   30;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.8263;         4.6250;        36.4084;         0.0000;     ;
   31;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.4941;         4.6250;        36.4084;         0.0000;     ;
   32;                    New Cycle added;           LagrangianRelaxation.cpp;        73;                 Lagrange;         0.0000;         0.3868;         4.6250;        36.4084;         0.0000;     ;
   33;                Get cycle variables;           LagrangianRelaxation.cpp;       113;                 Lagrange;         0.0002;         1.4938;         4.7500;        37.3924;         0.0000;     ;
   34;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.0155;         4.7500;        37.3924;         0.0000;     ;
   35;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.4063;         4.7500;        37.3924;         0.0000;     ;
   36;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         1.0474;         4.7812;        37.6384;         0.0000;     ;
   37;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.8783;         4.7812;        37.6384;         0.0000;     ;
   38;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         1.2782;         4.7812;        37.6384;         0.0000;     ;
   39;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.6588;         4.7812;        37.6384;         0.0000;     ;
   40;                    New Cycle added;           LagrangianRelaxation.cpp;        73;                 Lagrange;         0.0001;         0.5417;         4.7812;        37.6384;         0.0000;     ;
   41;                Get cycle variables;           LagrangianRelaxation.cpp;       113;                 Lagrange;         0.0002;         1.8145;         4.9531;        38.9914;         0.0000;     ;
   42;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.0170;         4.9531;        38.9914;         0.0000;     ;
   43;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.3362;         4.9531;        38.9914;         0.0000;     ;
   44;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.7805;         4.9531;        38.9914;         0.0000;     ;
   45;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.7805;         4.9688;        39.1144;         0.0000;     ;
   46;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         1.1492;         4.9688;        39.1144;         0.0000;     ;
   47;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.6447;         4.9688;        39.1144;         0.0000;     ;
   48;                    New Cycle added;           LagrangianRelaxation.cpp;        73;                 Lagrange;         0.0001;         0.5190;         4.9688;        39.1144;         0.0000;     ;
   49;                Get cycle variables;           LagrangianRelaxation.cpp;       113;                 Lagrange;         0.0001;         1.0727;         4.9688;        39.1144;         0.0000;     ;
   50;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.0148;         4.9688;        39.1144;         0.0000;     ;
   51;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0000;         0.3164;         4.9688;        39.1144;         0.0000;     ;
   52;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.6115;         4.9688;        39.1144;         0.0000;     ;
   53;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.6147;         4.9688;        39.1144;         0.0000;     ;
   54;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         1.0441;         4.9688;        39.1144;         0.0000;     ;
   55;                  Find Longest Path;                    LongestPath.cpp;       203;          FindLongestPath;         0.0001;         0.5829;         4.9688;        39.1144;         0.0000;     ;
   56;                ->>- Lagrange -<<- ;           LagrangianRelaxation.cpp;       431;                 Lagrange;         0.0045;        38.6167;        10.2656;        80.8118;         0.0000;     ;
   57;          Save solution | Large gap;                         BBTree.cpp;       324;                   BBTree;         0.0000;         0.1791;        10.2656;        80.8118;         0.0000;     ;
   58;          --->>--- BBTree ---<<--- ;                         BBTree.cpp;       363;                   BBTree;         0.0005;         4.2574;        10.2969;        81.0578;         0.0000;     ;
